Lintang,Bujur,Tinggi_Ortometrik,CBA
-6.84082,107.5621,986.3,57.397467
-7.15656,107.36719,1650.3,116.639
-7.18401,107.44871,1920.8,124.27205
-7.15542,107.56177,1266.1,78.948803
-7.19264,107.61471,1545.6,48.48088
-7.1548,107.69841,1240.8,14.33294
-7.15946,107.79109,1486.3,85.277862
-7.11766,107.43542,1312.6,56.71568
-7.11191,107.47136,1176.5,78.829324
-7.11287,107.55651,872.9,37.699283
-7.10395,107.70567,868.6,23.664267
-7.12149,107.77611,1248.7,64.098357
-7.05814,107.3392,1142.3,84.445182
-7.06309,107.39948,1299.9,104.905697
-7.07511,107.47145,1051,89.223264
-7.06747,107.51514,1066.2,76.352394
-7.07231,107.56547,753.7,57.621788
-7.07327,107.60742,879.6,68.649018
-7.06098,107.65043,935.5,47.281101
-7.06946,107.70264,761.2,24.898521
-7.0744,107.74781,706.6,21.993168
-7.0799,107.79315,891.3,1.97126
-7.0634,107.84283,1094.8,65.855024
-7.01084,107.3456,1049,61.168732
-7.03555,107.48248,1133.3,88.090754
-7.02679,107.5169,743,46.735354
-7.02134,107.56534,668.6,53.613468
-7.01901,107.59687,664,60.054548
-7.02105,107.64901,674.6,26.140881
-7.02561,107.69855,668.5,16.928271
-7.02628,107.74228,667,18.206708
-7.02959,107.79257,686,11.547384
-7.0221,107.83927,813,34.980414
-7.0224,107.8769,849.4,43.736629
-6.97359,107.38166,747.1,59.267442
-6.98334,107.42916,645.4,45.624532
-6.98136,107.56289,659.9,38.621367
-6.98308,107.60514,659.8,32.793087
-6.96953,107.6314,664,19.127538
-6.98313,107.69384,661.7,30.402048
-6.97476,107.75794,663.8,13.215563
-6.97283,107.84183,804.6,54.081955
-6.96332,107.88528,1076,91.581503
-6.93421,107.47853,660.2,34.036419
-6.93746,107.52394,683,56.243779
-6.93889,107.5623,684.5,42.555407
-6.9318,107.6111,692.2,32.455307
-6.73161,107.90737,375.4,44.7400656
-6.70396,107.9579,315.9,50.735309
-6.64143,107.94734,82.4,10.94234
-6.71888,107.66079,839.3,89.665411
-6.83568,107.4884,709.8,20.336253
-6.6852,107.42987,524.4,31.952465
-6.62356,107.40399,225.7,56.435096
-7.04968,107.76153,673.7,19.061838
-7.03967,107.49607,800.9,54.354114
-6.82977,107.46639,707.3,34.231438
-7.03621,107.90715,733.7,32.883639
-6.96211,107.79267,671.8,24.455085
-6.83766,107.92782,473.4,27.058854
-6.93512,107.66096,673.3,22.713418
-6.93727,107.70159,669.7,32.155758
-6.93173,107.74965,774.9,31.159683
-6.92309,107.82875,870.6,44.898985
-6.89386,107.36172,679.1,55.469542
-6.87359,107.4275,703.4,19.940015
-6.89692,107.52291,723.2,44.632003
-6.88756,107.56893,767.6,28.228917
-6.88651,107.66972,820.1,38.461721
-6.90269,107.74359,974.7,67.175817
-6.9059,107.78166,819,41.812517
-6.88867,107.84037,782.8,22.938531
-6.89064,107.89344,880.9,76.906754
-6.87969,107.9349,487.4,38.262294
-6.83169,107.36893,367.3,2.020272
-6.84338,107.47473,717.4,8.577953
-6.84489,107.51883,811.7,27.531693
-6.84711,107.62835,1023.2,72.757541
-6.82534,107.68653,1257.4,68.33259
-6.85694,107.73248,1413.8,114.518767
-6.86245,107.79526,1034.1,47.659481
-6.84057,107.83344,917.6,36.302161
-6.84248,107.89996,501,24.906034
-6.79627,107.44227,497.6,-1.008348
-6.77722,107.52406,1191,59.978188
-6.79754,107.57482,1318.4,121.34157
-6.8083,107.65001,1170.8,54.5709
-6.78833,107.69181,1207.9,75.54279
-6.81074,107.8615,692.5,65.141175
-6.79948,107.94985,605.4,82.60890734
-6.7412,107.36152,310.8,8.296864
-6.76063,107.61834,1834.6,140.61763
-6.74135,107.75452,481.1,60.552205
-6.74625,107.80119,410.7,40.852725
-6.76194,107.84175,539.6,50.257055
-6.76315,107.88722,367,51.86435734
-6.73973,108.01009,353.4,55.612609
-6.70272,107.46952,674.3,20.082395
-6.69813,107.51702,782.1,25.281625
-6.67521,107.56649,680.4,34.927207
-6.70472,107.6917,589.6,62.619241
-6.70724,107.75608,410.7,40.344785
-6.70169,107.79668,296.2,19.319145
-6.71404,107.82148,427.3,34.352915
-6.66513,107.61363,643.1,78.660974
-6.66934,107.66001,515.5,45.203361
-6.66298,107.69826,493.4,84.0513033
-6.66435,107.75387,442.5,53.11895608
-6.64903,107.79871,465.3,42.859489
-6.67451,107.9121,167.4,19.0686056
-6.60294,107.47018,186.9,33.21513
-6.63252,107.52411,555.1,58.95173
-6.62183,107.57387,299.8,42.772774
-6.61236,107.67868,305.6,58.2139833
-6.60344,107.73426,186.8,43.59963608
-6.57035,107.76116,90.7,32.8428317
-6.6002,107.8576,76.4,9.025219
-6.60589,107.94277,67,7.85154
-6.67298,107.47622,621.1,13.751235
-6.59024,107.42948,212.7,47.228016
-7.04935,107.76155,672.8,18.941288
-6.82647,107.61775,1256.8,84.209
-6.75957,107.61901,1828.8,139.73068
-6.85991,107.92043,456.8,23.679644
-6.56998,107.90523,46.5,17.44775463
-6.90073,107.62145,718,15.446687
-6.47334,108.2214,294.2,52.15421152
-6.47244,108.2254,251,55.38549152
-6.48273,108.2104,289.8,61.09610152
-6.48313,108.2213,432.6,73.80202152
-6.47465,108.2032,203.1,51.67266152
-6.46544,108.2153,206.1,49.35473152
-6.46499,108.2225,206.4,50.19643152
-6.46419,108.2302,155,46.34345152
-6.46393,108.2332,153.5,47.73558152
-6.46409,108.2402,140.5,46.79870152
-6.46316,108.2431,131.6,45.14963152
-6.46211,108.2449,114.1,42.78774152
-6.45599,108.2518,82.3,38.84281152
-6.45431,108.2607,92.8,44.86853152
-6.45513,108.2541,67.3,30.87884152
-6.45257,108.2627,85.6,37.45055152
-6.44262,108.2621,51.6,34.10304152
-6.43364,108.2633,34.9,31.69714152
-6.43041,108.2701,25.7,30.13137152
-6.42072,108.274,17.7,28.93634922
-6.42113,108.2811,18.1,28.88163922
-6.42225,108.2822,21.1,28.91547922
-6.42414,108.2815,23,29.32343152
-6.43071,108.2802,26,29.68798152
-6.43305,108.2754,29.7,30.15344152
-6.43594,108.2754,35.1,30.63273152
-6.44292,108.2743,43.6,31.77696152
-6.44535,108.2731,55.7,33.39406152
-6.45244,108.2725,76.4,35.59265152
-6.45517,108.2646,116.1,40.30506152
-6.45255,108.2759,54.7,32.81047152
-6.45324,108.2844,63.9,32.6805565
-6.46257,108.2644,150.5,36.00677152
-6.47012,108.2657,185.8,38.88299152
-6.47414,108.273,269.9,46.09609152
-6.4824,108.2738,336.6,53.19080152
-6.42285,108.2647,24.1,29.80973922
-6.42307,108.2615,25.6,30.34847922
-6.42241,108.2533,27.5,30.94833922
-6.4222,108.2501,25.9,31.47853922
-6.42152,108.2438,22.8,31.77499922
-6.42042,108.2423,20,31.30250922
-6.41528,108.2402,22,31.21293922
-6.41437,108.2339,26.3,31.48881922
-6.41399,108.2319,30,31.48882922
-6.41425,108.2244,29.8,31.30187922
-6.41349,108.2208,33.8,31.12211922
-6.41093,108.2149,27.8,30.15077922
-6.41473,108.2146,32.1,30.88241922
-6.47554,108.2023,204.8,50.23953152
-6.47387,108.2108,210.6,50.08391152
-6.44589,108.2345,114.9,49.74129152
-6.45249,108.2414,80.4,44.58665152
-6.44478,108.223,334.1,67.80751152
-6.45494,108.2101,140.7,41.06482152
-6.48304,108.2259,432,67.94862152
-6.47184,108.2417,210,45.51966152
-6.48188,108.2426,461.4,73.84783152
-6.46422,108.2525,124.9,34.86967152
-6.48054,108.2519,359.1,60.95445152
-6.47349,108.2554,272,49.38754152
-6.48486,108.2405,515.4,81.76699152
-6.48349,108.2287,511.5,79.33081152
-6.44226,108.2543,43.5,35.15935152
-6.46255,108.2136,189,46.81363152
-6.45269,108.2511,64.6,38.24432152
-6.43332,108.2557,36.5,32.79758152
-6.4816,108.1932,189.6,54.85588997
-6.45075,108.2149,123.6,42.01962152
-6.41403,108.2424,18,29.86290922
-6.41437,108.2549,22,29.90114922
-6.41087,108.263,16.5,28.74297922
-6.42001,108.2712,19.2,29.24370922
-6.41232,108.2754,14.7,28.85820922
-6.41502,108.2734,17,29.01433922
-6.41245,108.2837,13.4,28.6260735
-6.48288,108.2127,384.9,69.21186152
-6.45435,108.2426,83.9,42.94984152
-6.45406,108.2155,118.7,40.49015152
-6.48304,108.2603,389.4,64.44781152
-6.47452,108.2638,283,49.58270152
-6.46405,108.2604,175.7,38.92719152
-6.4803,108.2157,332.6,62.99839152
-6.47469,108.2343,292.3,53.20038152
-6.47448,108.2409,342.9,59.58574152
-6.48445,108.2654,388.5,61.80146152
-6.43197,108.2011,47.5,39.23100152
-6.40514,108.2239,24.1,29.78410922
-6.41116,108.2519,15.4,29.10753922
-6.41484,108.2639,19.3,29.88808922
-6.41153,108.2711,13.6,28.43436922
-6.48542,108.1928,319.8,67.37486997
-6.43526,108.2827,31.1,29.83134152
-6.41373,108.1751,35.9,28.44384746
-6.4304,108.2118,42.9,32.44222152
-6.41187,108.2023,32.6,30.77401922
-6.49156,108.265,457.5,71.24805152
-6.46156,108.1918,105.1,40.95168997
-6.41229,108.1659,29.9,27.27010746
-6.41384,108.166,30.7,26.89609746
-6.40598,108.1924,29.1,30.01926746
-6.42136,108.2023,38.9,30.90922922
-6.42124,108.1949,40.1,30.76028746
-6.42111,108.1918,34.8,29.48646746
-6.4236,108.1833,40.4,28.74824997
-6.43038,108.1802,41,27.66756997
-6.43234,108.1723,43.1,26.87663997
-6.42157,108.1658,33.8,26.70849746
-6.42563,108.165,39.2,26.64704997
-6.43228,108.1642,41.2,25.63119997
-6.42369,108.192,40.5,38.04731997
-6.43484,108.1856,59.3,37.91831997
-6.4412,108.1853,62.5,37.56859997
-6.45098,108.1905,77.9,38.64674997
-6.445,108.2031,71,34.18505152
-6.44161,108.2042,58.5,32.72375152
-6.43479,108.206,52.5,32.62819152
-6.45276,108.2045,122.2,38.61693152
-6.45485,108.2,100,35.43223997
-6.45128,108.2011,79.8,34.21575152
-6.46355,108.2031,138.4,42.92123152
-6.46493,108.2044,153.4,42.72454152
-6.47165,108.2009,158.7,49.86528152
-6.47177,108.1938,139.9,46.84009997
-6.47511,108.191,151.4,45.06319997
-6.47237,108.1901,127.1,42.24605997
-6.46592,108.1846,104.2,39.29590997
-6.46282,108.1825,89.7,36.55154997
-6.45428,108.1805,74.8,35.12318997
-6.45172,108.1757,70.6,34.34795997
-6.44547,108.1728,58.8,31.66037997
-6.44224,108.1713,51.3,31.65963997
-6.43542,108.1704,44.4,30.75619997
-6.44014,108.1526,44.9,21.93578997
-6.44207,108.1547,47.9,22.29328997
-6.44579,108.1603,52,22.55440997
-6.44559,108.1628,51.2,29.51142997
-6.45196,108.1607,54.8,22.10480997
-6.46169,108.1611,65,21.59813997
-6.45293,108.1634,55.5,29.01140997
-6.45552,108.17,62.1,29.09704997
-6.46437,108.1613,70,21.35787997
-6.47155,108.1612,79.4,21.23529997
-6.47501,108.1557,98,15.12819997
-6.48005,108.1621,96.5,23.17324997
-6.471,108.1727,84.2,31.06840997
-6.47453,108.173,103.6,31.39688997
-6.48103,108.173,122.4,29.15000997
-6.48488,108.1714,144.8,31.25802997
-6.48337,108.1643,119.4,27.37645997
-6.4813,108.1532,104.1,16.06446997
-6.49262,108.2043,477.7,78.59225152
-6.49475,108.1923,445.2,78.86803997
-6.49551,108.1726,248.3,36.02693997
-6.49201,108.1713,188.2,28.26302997
-6.49209,108.1629,157.9,25.58662997
-6.48115,108.1749,176.8,32.34314997
-6.48277,108.1752,203.9,45.36713997
-6.49086,108.1812,269.8,54.48872997
-6.49472,108.1834,361.8,80.55261997
-6.45258,108.2302,261.9,63.21097152
-6.48167,108.2451,433.3,70.42763152
-6.46495,108.1542,69.5,19.35180997
-6.47257,108.2253,256.6,55.59174152
-6.32847,106.07904,268.6,91.264384
-6.33297,106.12762,152.2,67.208914
-6.34196,106.17378,102.5,69.4133754
-6.33654,106.20814,75.3,62.3725554
-6.3347,106.30688,63.2,67.7414196
-6.3257,106.34617,64.7,68.5023196
-6.32892,106.39132,56,65.7107157
-6.32558,106.44053,64.6,65.5119557
-6.32496,106.48536,64.4,63.5586695
-6.32548,106.53133,58.3,61.9949995
-6.32586,106.57903,67.4,66.0972161
-6.32686,106.62596,65.6,68.5917161
-6.32379,106.6639,68.5,59.72475459
-6.33194,106.70835,71,58.65571459
-6.28446,106.08573,627.3,118.590944
-6.28654,106.12482,236.5,78.819544
-6.28382,106.17065,130.1,69.3201154
-6.28153,106.21515,77.6,59.5256954
-6.29055,106.27261,32.4,59.09342172
-6.27129,106.31025,40.8,60.4924696
-6.27745,106.34593,56.5,62.6793396
-6.28622,106.39715,37.8,61.2017957
-6.28101,106.44379,49.4,63.9855557
-6.27947,106.48774,49.1,65.8393295
-6.28257,106.53256,56.1,72.0198595
-6.28155,106.57624,55,70.0602761
-6.28509,106.624,54,62.0121061
-6.27915,106.66871,49.9,46.35971459
-6.2823,106.71099,47.6,50.39783459
-6.23731,106.077,436.5,105.3132972
-6.23618,106.1277,170,80.4513372
-6.23618,106.16962,118.5,79.6206066
-6.24152,106.20839,77.2,76.8552566
-6.2394,106.25813,56,70.6589029
-6.23787,106.3135,31.6,67.49572232
-6.23776,106.35369,46.4,69.44749232
-6.22873,106.39675,36.2,69.75063921
-6.24417,106.4433,40.5,66.38776921
-6.23858,106.48903,39.9,66.4257787
-6.23912,106.57771,47.5,64.2440701
-6.23788,106.62175,41.7,45.3074201
-6.23729,106.66557,38.9,49.98984324
-6.23618,106.71338,41.5,53.70343493
-6.20497,106.07834,207.3,86.9731872
-6.18758,106.12808,123.9,78.4205972
-6.18716,106.17533,76.9,73.2170266
-6.19468,106.21567,59.7,79.4011366
-6.19207,106.25042,53.1,78.6417529
-6.19509,106.30728,26.5,70.82111232
-6.20187,106.3507,37.3,68.40454232
-6.19641,106.39497,33.9,69.79720921
-6.19389,106.43968,35.3,70.88820921
-6.18996,106.48981,37.5,69.9978087
-6.19087,106.52973,41.1,68.2417487
-6.18829,106.58016,33.7,49.6690301
-6.19507,106.62021,35.1,42.2902601
-6.19076,106.66602,31.2,51.13486324
-6.18887,106.7144,25.5,54.81067493
-6.1482,106.08235,237.9,93.6874197
-6.14571,106.12922,77.1,64.8795797
-6.14902,106.17072,50.2,67.6027401
-6.1543,106.2179,41.5,73.155275
-6.14815,106.2633,32.7,77.876295
-6.14688,106.30898,24.2,69.49087439
-6.15227,106.34636,31.7,69.83310439
-6.15223,106.39457,26.6,68.35779823
-6.14632,106.44178,30.6,72.79628823
-6.14114,106.48711,31.2,71.11838324
-6.14666,106.52993,31.2,69.21250324
-6.15182,106.57318,30,52.26710623
-6.14631,106.61879,29.5,49.04849623
-6.14659,106.6671,25.1,53.95797456
-6.14421,106.71369,21.7,59.14493806
-6.10097,106.09227,84.8,78.5722597
-6.1,106.1272,47,66.7398097
-6.10474,106.1697,34.7,68.1739601
-6.09971,106.21716,25.7,68.521075
-6.10179,106.26239,26.2,70.615845
-6.10465,106.31063,28.2,66.39353439
-6.10213,106.35297,22,67.50723439
-6.10107,106.39503,25.1,69.71318823
-6.10321,106.44619,20.6,69.97299823
-6.10291,106.48582,23.4,70.96073324
-6.10126,106.52363,24.5,68.53180324
-6.09419,106.56783,24.8,63.00667909
-6.10225,106.61252,23.1,57.69483623
-6.10078,106.66746,22.9,58.21448456
-6.1005,106.70811,20,62.13441456
-6.05829,106.08115,46,82.947618
-6.05976,106.12719,23,76.048348
-6.06115,106.17438,22.3,71.75127104
-6.05438,106.20743,20,68.90917104
-6.06171,106.26263,19.4,68.70085048
-6.06009,106.30987,21.4,70.50698531
-6.0656,106.3568,20,70.42041531
-6.04782,106.40224,21.5,68.6511872
-6.07307,106.44195,19.5,69.0758572
-6.06137,106.50753,19.7,69.44141398
-6.064,106.55288,21.6,68.04166909
-6.05868,106.58451,20.9,62.95621909
-6.05628,106.61656,19.4,61.01846909
-6.05144,106.66766,20.7,63.11461461
-6.01375,106.07905,19.9,69.1215058
-6.01354,106.26779,17.8,71.57576976
-6.00572,106.30783,18.7,71.73545848
-6.00231,106.34489,18.1,70.41413848
-6.23417,106.5264,45.6,69.0915387
-6.11744,106.15177,42.4,68.0791001
-6.731,106.8,483.6,73.075871
-6.771,106.79,502.7,61.580583
-6.825,106.76,455.9,84.189633
-6.724,107.07,811.6,68.554836
-6.771,107.06,965,107.404438
-6.697,106.79,527.4,32.669555
-6.691,106.84,504.8,63.466951
-6.69,106.9,738.6,36.687096
-6.686,106.93,901.2,61.486176
-6.698,106.98,1330.9,107.144565
-6.643,106.53,616.6,62.674144
-6.655,106.55,613.2,112.704406
-6.632,106.67,412.7,102.7691026
-6.647,106.72,563.8,84.26733
-6.644,106.76,450.9,74.90837
-6.646,106.84,422.7,81.316743
-6.644,106.8,335.1,69.005303
-6.65,106.9,600.7,49.533951
-6.582,106.5,453.2,94.301125
-6.597,106.53,299.2,35.263134
-6.595,106.57,516.8,101.846906
-6.591,106.7,241.9,87.9256126
-6.587,106.74,204.1,55.273
-6.596,106.8,255.2,68.909293
-6.587,106.84,230.4,69.167823
-6.599,106.89,437.3,42.517681
-6.564,106.99,351.8,51.608831
-6.598,107.02,463.6,41.854712
-6.581,107.08,441.7,84.9197744
-6.565,106.58,214,64.501539
-6.558,106.71,175.2,71.40747399
-6.557,106.75,179.7,64.8868705
-6.556,106.8,192.8,57.787396
-6.538,107.03,210.2,30.964841
-6.541,107.1,275.2,66.1776944
-6.524,106.63,130.7,66.21205399
-6.515,106.67,131,61.65767399
-6.504,106.7,123.7,57.2762166
-6.505,106.76,150.2,50.5009732
-6.506,106.8,148.5,47.398686
-6.499,106.83,139.4,52.7443614
-6.481,106.98,116.4,52.0151982
-6.509,107.04,190.3,22.101041
-6.472,107.08,92.8,50.1910767
-6.484,106.47,114,78.1802937
-6.456,106.5,92.9,75.2307737
-6.43,106.55,89.2,63.665672
-6.461,106.64,100,69.0383566
-6.485,106.68,114.2,62.8180066
-6.478,106.72,119.8,53.0818232
-6.46,106.79,108.8,45.9188232
-6.465,106.85,122.4,47.1231214
-6.448,106.99,84.2,45.0989082
-6.447,107.03,63,39.0034582
-6.444,107.06,59.5,45.8936567
-6.406,106.68,78.5,62.5475499
-6.422,106.71,95.7,61.9979199
-6.408,106.93,84.8,48.2436427
-6.363,106.68,67.5,54.8777899
-6.371,106.7,69.1,54.9428699
-6.379,106.94,73.7,45.8649527
-6.503,107.13,84,52.32621093
-6.869,106.77,381.7,107.940488
-6.808,107.12,535.2,59.741598
-6.677,107.03,1150.9,70.217245
-6.755,107.19,350.1,43.803032
-6.808,107.16,370.3,43.838792
-6.869,107.09,546.3,61.120031
-6.49,106.84,139.2,50.4949214
-6.897,106.81,464.1,101.576708
-6.858,107.1,509,55.391271
-6.44706,106.77862,114.7,48.2909232
-6.43852,106.82233,107,51.0013414
-6.45048,106.86931,109.3,48.9710314
-6.3956,106.7429,88.2,53.2465899
-6.39924,106.77855,85.7,49.5920699
-6.39376,106.81491,85.4,48.2380629
-6.39975,106.86161,90,44.7887729
-6.40824,106.93547,84,48.1418427
-6.35409,106.77565,68.5,46.1697799
-6.43898,107.07382,63.6,44.6704267
-6.44306,107.12771,56.2,36.56309093
-6.4321,107.19227,34.3,47.15140093
-6.38028,107.03599,59.3,44.4232624
-6.39916,107.1009,53.6,36.33521836
-6.39142,107.13329,54.2,34.9120799
-6.37194,107.182,52.8,41.7576799
-6.34496,107.00593,43.7,42.4778324
-6.34619,107.05393,43,37.22557836
-6.34054,107.10197,35.1,34.5065345
-6.35188,107.14072,33.5,38.0068399
-6.33537,107.19145,24.5,37.23607532
-6.29899,106.95898,35.5,40.2542286
-6.30668,107.00296,29.9,34.14939891
-6.30585,107.03811,30.3,32.85923891
-6.30673,107.1125,29.4,34.2537545
-6.30056,107.14508,28.2,36.65476532
-6.32118,107.25414,14.6,35.46664038
-6.25982,106.97084,17.9,35.70147654
-6.26122,107.00405,18.7,31.48276891
-6.2533,107.05399,13.2,32.13942087
-6.25512,107.09616,12.8,34.06039087
-6.26,107.13873,17.6,35.67412834
-6.25998,107.18289,11.4,37.15019834
-6.25255,107.23409,10.8,33.83242359
-6.262,107.27217,12.2,33.46754038
-6.20656,107.0034,13.8,33.07168654
-6.21256,107.0465,10.8,32.82093087
-6.21494,107.08916,9.7,33.97513087
-6.20713,107.13917,9.4,34.18089834
-6.20724,107.18828,9.3,34.08788834
-6.21041,107.2215,8.8,31.52448359
-6.21373,107.27229,9.8,29.21887359
-6.16798,107.00516,4.1,35.25318995
-6.16977,107.04573,7.5,35.6683982
-6.16229,107.0936,4.5,35.2260882
-6.16444,107.12893,5.5,34.06136542
-6.16475,107.17657,6.9,32.07766542
-6.16993,107.23172,6.4,25.24887224
-6.16637,107.27668,8.5,20.90582224
-6.1164,106.99558,2.1,39.78468995
-6.12308,107.06217,3.7,38.8009782
-6.11947,107.08432,2.5,36.5794482
-6.12129,107.1257,4.1,34.5386982
-6.12507,107.16316,5.2,32.72395542
-6.10247,107.20724,5.3,26.52619542
-6.08406,107.05499,2.2,38.18251663
-6.08127,107.09136,3.2,34.99426663
-6.076,107.14359,5.8,33.66696599
-6.04027,107.06841,2.2,38.37140663
-6.02658,107.09979,4.2,36.62684663
-5.9868,107.04693,2.2,46.87325924
-6.24955,107.01551,20.9,32.30822654
-6.31267,107.18132,18.2,37.33883532
-7.35711,112.572,18.8,-19.1859577
-7.34833,112.5076,58,-16.7118277
-7.34995,112.4752,47.4,-18.4899869
-7.35045,112.4219,68.7,-11.8149769
-7.34501,112.373,53,-7.9862619
-7.3428,112.2842,80.1,1.472863
-7.34063,112.2419,75.7,4.0062191
-7.2947,112.5647,8.7,-12.3632649
-7.29979,112.5083,14.6,-11.9571749
-7.30082,112.464,18.7,-5.86887829
-7.30357,112.4166,27.7,2.0451597
-7.3149,112.3837,34.3,8.3152397
-7.29227,112.3282,72.8,25.585831
-7.29895,112.2894,68.8,27.549151
-7.289,112.2351,94.6,33.122771
-7.25564,112.5211,8.8,-0.9079849
-7.24863,112.4731,12.6,9.00931171
-7.25341,112.432,21.6,16.61027171
-7.24916,112.3806,40,26.8750397
-7.24679,112.3389,50.3,34.6886897
-7.24348,112.2863,59.5,33.723051
