Lintang,Bujur,Tinggi_Ort,CBA
-6.84082,107.5621,986.3,26.251
-7.15656,107.36719,1650.3,66.79278
-7.18401,107.44871,1920.8,65.39082
-7.15542,107.56177,1266.1,25.86296
-7.19264,107.61471,1545.6,19.83374
-7.1548,107.69841,1240.8,13.6136
-7.15946,107.79109,1486.3,21.8104
-7.11766,107.43542,1312.6,47.77684
-7.11191,107.47136,1176.5,40.0144
-7.11287,107.55651,872.9,26.561134
-7.10395,107.70567,868.6,13.655277
-7.12149,107.77611,1248.7,15.36563
-7.05814,107.3392,1142.3,49.70827
-7.06309,107.39948,1299.9,49.33072
-7.07511,107.47145,1051,50.39871
-7.06747,107.51514,1066.2,43.92145
-7.07231,107.56547,753.7,25.726012
-7.07327,107.60742,879.6,25.537521
-7.06098,107.65043,935.5,28.89219
-7.06946,107.70264,761.2,25.261809
-7.0744,107.74781,706.6,14.378961
-7.0799,107.79315,891.3,18.313649
-7.0634,107.84283,1094.8,30.11208
-7.01084,107.3456,1049,40.39019
-7.03555,107.48248,1133.3,51.16132
-7.02679,107.5169,743,43.242495
-7.02134,107.56534,668.6,29.227598
-7.01901,107.59687,664,36.095345
-7.02105,107.64901,674.6,34.817504
-7.02561,107.69855,668.5,27.092264
-7.02628,107.74228,667,14.820417
-7.02959,107.79257,686,20.183018
-7.0221,107.83927,813,29.152432
-7.0224,107.8769,849.4,27.894391
-6.97359,107.38166,747.1,46.060708
-6.98334,107.42916,645.4,39.685572
-6.98136,107.56289,659.9,25.416855
-6.98308,107.60514,659.8,19.599511
-6.96953,107.6314,664,19.863068
-6.98313,107.69384,661.7,31.605776
-6.97476,107.75794,663.8,11.797969
-6.97283,107.84183,804.6,36.548718
-6.96332,107.88528,1076,33.01337
-6.93421,107.47853,660.2,32.027721
-6.93746,107.52394,683,52.089662
-6.93889,107.5623,684.5,25.984441
-6.9318,107.6111,692.2,15.426155
-6.73161,107.90737,375.4,12.084756
-6.70396,107.9579,315.9,10.043419
-6.64143,107.94734,82.4,12.428719
-6.71888,107.66079,839.3,35.487981
-6.83568,107.4884,709.8,16.361959
-6.6852,107.42987,524.4,18.168495
-6.62356,107.40399,225.7,42.641807
-7.04968,107.76153,673.7,15.35462
-7.03967,107.49607,800.9,42.409403
-6.82977,107.46639,707.3,15.623441
-7.03621,107.90715,733.7,29.662332
-6.96211,107.79267,671.8,14.217912
-6.83766,107.92782,473.4,14.169479
-6.93512,107.66096,673.3,22.969125
-6.93727,107.70159,669.7,32.962631
-6.93173,107.74965,774.9,20.631903
-6.92309,107.82875,870.6,14.39283
-6.89386,107.36172,679.1,18.392848
-6.87359,107.4275,703.4,10.045079
-6.89692,107.52291,723.2,37.951117
-6.88756,107.56893,767.6,17.856543
-6.88651,107.66972,820.1,19.64349
-6.90269,107.74359,974.7,19.72679
-6.9059,107.78166,819,8.737185
-6.88867,107.84037,782.8,7.586752
-6.89064,107.89344,880.9,25.663879
-6.87969,107.9349,487.4,21.583324
-6.83169,107.36893,367.3,0.703306
-6.84338,107.47473,717.4,5.310263
-6.84489,107.51883,811.7,14.032776
-6.84711,107.62835,1023.2,32.57151
-6.82534,107.68653,1257.4,38.63479
-6.85694,107.73248,1413.8,19.59652
-6.86245,107.79526,1034.1,10.54627
-6.84057,107.83344,917.6,13.405986
-6.84248,107.89996,501,11.898014
-6.79627,107.44227,497.6,-10.909026
-6.77722,107.52406,1191,-4.15077
-6.79754,107.57482,1318.4,59.59563
-6.8083,107.65001,1170.8,33.26184
-6.78833,107.69181,1207.9,50.39972
-6.81074,107.8615,692.5,8.62253
-6.79948,107.94985,605.4,14.736514
-6.7412,107.36152,310.8,4.123254
-6.76063,107.61834,1834.6,38.21141
-6.74135,107.75452,481.1,25.62208
-6.74625,107.80119,410.7,19.71893
-6.76194,107.84175,539.6,13.270088
-6.76315,107.88722,367,9.419183
-6.73973,108.01009,353.4,11.295278
-6.70272,107.46952,674.3,10.903762
-6.69813,107.51702,782.1,7.663249
-6.67521,107.56649,680.4,13.260042
-6.70472,107.6917,589.6,34.389925
-6.70724,107.75608,410.7,15.388589
-6.70169,107.79668,296.2,5.334273
-6.71404,107.82148,427.3,9.428847
-6.66513,107.61363,643.1,26.965313
-6.66934,107.66001,515.5,27.670873
-6.66298,107.69826,493.4,25.824724
-6.66435,107.75387,442.5,-0.777272
-6.64903,107.79871,465.3,6.255253
-6.67451,107.9121,167.4,9.120918
-6.60294,107.47018,186.9,25.868935
-6.63252,107.52411,555.1,13.322785
-6.62183,107.57387,299.8,26.373626
-6.61236,107.67868,305.6,25.483833
-6.60344,107.73426,186.8,23.230101
-6.57035,107.76116,90.7,24.816445
-6.6002,107.8576,76.4,11.519963
-6.60589,107.94277,67,9.705524
-6.67298,107.47622,621.1,12.019575
-6.59024,107.42948,212.7,35.167371
-7.04935,107.76155,672.8,15.325814
-6.82647,107.61775,1256.8,31.60876
-6.75957,107.61901,1828.8,39.25505
-6.85991,107.92043,456.8,11.482403
-6.56998,107.90523,46.5,13.815444
-6.90073,107.62145,718,10.647942
-6.47334,108.2214,294.2,52.109108
-6.47244,108.2254,251,55.440804
-6.48273,108.2104,289.8,61.09042
-6.48313,108.2213,432.6,73.611321
