Lintang,Bujur,Tinggi_Ortometrik,CBA
-7.83589,108.576,-88.53234863,142.5759776
-7.83567,108.57529,-88.53234863,143.9778494
-7.83544,108.57457,-98.64285278,145.3884349
-7.83522,108.57386,-98.64285278,146.8031367
-7.83499,108.57314,-98.64285278,148.2515231
-7.83476,108.57243,-98.64285278,149.6901261
-7.83454,108.57171,-98.64285278,151.1428383
-7.83431,108.57099,-98.64285278,152.6131307
-7.83409,108.57028,-108.2923813,154.0368154
-7.83386,108.56956,-108.2923813,155.521669
-7.83363,108.56885,-108.2923813,156.9970205
-7.83341,108.56813,-108.2923813,158.4865354
-7.83318,108.56742,-113.7955475,159.6323462
-7.83295,108.5667,-113.7955475,160.6309221
-7.83273,108.56599,-122.0440598,160.8847344
-7.8325,108.56527,-122.0440598,161.1167437
-7.83227,108.56455,-122.0440598,161.3405238
-7.83204,108.56384,-122.0440598,161.5495488
-7.83182,108.56312,-122.0440598,161.7690325
-7.83159,108.56241,-126.4902802,161.947696
-7.83136,108.56169,-126.4902802,162.1397293
-7.83114,108.56097,-126.4902802,162.3364536
-7.83091,108.56026,-126.4902802,162.5069928
-7.83068,108.55954,-126.4902802,162.6765239
-7.83046,108.55882,-126.4902802,162.8516564
-7.83023,108.5581,-125.3088608,163.0110105
-7.83,108.55739,-125.3088608,163.1527066
-7.82978,108.55667,-125.3088608,163.3072036
-7.82955,108.55595,-125.3088608,163.4413679
-7.82932,108.55523,-125.3088608,163.5686635
-7.82909,108.55451,-134.2262421,163.6549439
-7.82887,108.55379,-128.2615051,163.8059132
-7.82864,108.55308,-128.2615051,163.907155
-7.82841,108.55236,-128.2615051,164.0080189
-7.82818,108.55164,-128.2615051,164.1024776
-7.82795,108.55092,-128.2615051,164.1906325
-7.82772,108.5502,-128.2615051,164.2725594
-7.82749,108.54948,-119.8402405,162.6726062
-7.82726,108.54876,-119.8402405,160.3828106
-7.82703,108.54805,-119.8402405,158.1235249
-7.82681,108.54733,-119.8402405,155.8563809
-7.82658,108.54661,-119.8402405,153.5777541
-7.82635,108.54589,-119.8402405,151.3030258
-7.82612,108.54517,-109.4300156,149.0768953
-7.82589,108.54445,-109.4300156,146.8104756
-7.82566,108.54373,-109.4300156,144.5481594
-7.82544,108.54301,-109.4300156,142.3051702
-7.82521,108.54229,-109.4300156,140.0512412
-7.82498,108.54157,-104.907074,137.821538
-7.82475,108.54085,-104.907074,135.5763706
-7.82452,108.54013,-104.907074,133.3356196
-7.8243,108.53941,-104.907074,131.1143861
-7.82407,108.53868,-104.907074,128.8564447
-7.82384,108.53796,-104.907074,126.6293032
-7.82361,108.53724,-88.02581024,124.4828079
-7.82338,108.53652,-88.02581024,122.265211
-7.82315,108.5358,-88.02581024,120.0523095
-7.82292,108.53508,-88.02581024,117.8441502
-7.8227,108.53436,-88.02581024,115.6556359
-7.82247,108.53364,-88.02581024,113.4570531
-7.82224,108.53292,-69.80361176,113.8626851
-7.82201,108.53219,-69.80361176,116.172873
-7.82178,108.53147,-69.80361176,118.5534866
-7.82155,108.53075,-69.80361176,123.3280901
-7.82133,108.53003,-69.80361176,125.9246574
-7.8211,108.52931,-69.80361176,128.6200277
-7.82087,108.52859,-52.99990082,131.4972325
-7.82065,108.52786,-57.73480988,134.4210129
-7.82042,108.52714,-57.73480988,137.4320144
-7.82019,108.52642,-57.73480988,140.5487506
-7.81997,108.5257,-57.73480988,143.7625478
-7.81974,108.52498,-46.61397552,147.1384258
-7.81951,108.52425,-46.61397552,150.6142469
-7.81929,108.52353,-46.61397552,154.136998
-7.81906,108.52281,-46.61397552,157.7786094
-7.81883,108.52209,-46.61397552,161.5259484
-7.8186,108.52137,-46.61397552,165.3789991
-7.81838,108.52065,-37.94461823,169.3515639
-7.81815,108.51993,-37.94461823,173.413627
-7.81792,108.5192,-37.94461823,177.6308263
-7.81769,108.51848,-37.94461823,181.9049667
-7.81746,108.51776,-37.94461823,186.2847376
-7.81723,108.51704,-37.94461823,190.7701209
-7.817,108.51632,-30.52857399,193.2617741
-7.81678,108.5156,-30.52857399,193.3962062
-7.81655,108.51488,-34.83798981,192.8410264
-7.81632,108.51416,-34.83798981,191.6621706
-7.81609,108.51344,-34.83798981,190.5140124
-7.81587,108.51272,-34.83798981,189.4181458
-7.81564,108.51199,-29.32227707,188.3448062
-7.81541,108.51127,-29.32227707,187.2879687
-7.81519,108.51055,-29.32227707,186.2815099
-7.81496,108.50983,-29.32227707,185.2850993
-7.81473,108.50911,-29.32227707,184.3191171
-7.8145,108.50839,-29.32227707,183.3835278
-7.81428,108.50767,-26.08219147,182.5080696
-7.81405,108.50695,-26.08219147,181.6323527
-7.81382,108.50622,-26.08219147,180.7805318
-7.8136,108.5055,-26.08219147,179.9811427
-7.81337,108.50478,-26.08219147,179.1955332
-7.81314,108.50406,-26.12781906,178.4397943
-7.81292,108.50334,-26.12781906,177.728146
-7.81269,108.50262,-26.12781906,177.0318417
-7.81247,108.5019,-28.84815598,176.3688934
-7.81224,108.50118,-28.84815598,175.7317316
