Lintang,Bujur,Tinggi_Ort,CBA
-6.43161,110.81763,22,-423.029744
-7.93609,113.19296,406,-395.503112
-6.44171,110.81443,26,-378.35271
-7.92594,113.19611,333,-371.115487
-7.94625,113.18971,488,-350.805486
-9.04225,112.70432,-2168.794,-349.326722
-6.42156,110.82078,6.49,-341.190919
-7.91578,113.19927,255,-312.119078
-8.03295,112.59304,411,-305.649671
-8.0231,112.5961,424,-301.003396
-6.45189,110.81134,49,-294.740419
-8.01314,112.59921,447,-264.909571
-7.95639,113.18648,552,-264.776542
-8.04368,112.732,558,-260.16278
-8.05403,112.72872,546,-255.578138
-8.03334,112.7353,563,-242.170325
-6.41135,110.82391,1.616,-236.694246
-8.04262,112.59004,396,-236.346118
-8.06448,112.72546,536,-227.696215
-7.38812,113.79217,-56.373,-218.925255
-7.39796,113.78959,-56.756,-216.160864
-7.06942,113.74981,146,-213.55571
-7.28564,111.40272,101,-213.260896
-9.24353,114.0671,-3588.113,-213.16095
-7.37835,113.79469,-54.974,-211.944614
-7.28775,111.40195,109,-210.599636
-7.05841,113.75324,89,-210.419601
-7.33106,111.10445,96,-206.569417
-7.04745,113.75676,39,-198.672234
-7.2955,111.39966,119,-198.378417
-7.40766,113.78652,-56.947,-198.053792
-7.66547,113.84845,-65.435,-196.900661
-8.02298,112.73853,566,-195.645305
-7.36863,113.79725,-54.589,-194.654242
-6.69125,114.29471,-73.093,-194.515581
-7.66497,113.84864,-65.435,-190.703807
-7.08057,113.74631,209,-189.894179
-6.70176,114.29144,-70.454,-189.606794
-7.40044,112.36177,30,-188.627645
-7.70173,112.12559,68,-186.934787
-7.90565,113.20246,158,-185.998675
-7.712,112.1224,69,-185.672238
-7.69147,112.12885,62,-182.171759
-7.72227,112.1192,72,-180.781238
-6.68127,114.29788,-74.999,-180.3246
-7.03641,113.76021,33,-178.823129
-7.2979,111.39879,105,-177.29973
-6.46199,110.80815,63,-176.783156
-7.39057,112.36491,41,-176.316931
-7.68119,112.1321,60,-175.626472
-7.41733,113.78347,-59.095,-175.234084
-7.62016,112.15126,55,-172.55308
-7.73248,112.11599,73,-171.75837
-7.62997,112.14815,56,-168.603798
-7.61046,112.15429,58,-165.797093
-7.35901,113.79994,-52.271,-164.916995
-7.34173,111.10108,74,-164.789074
-7.67081,112.13535,57,-164.735261
-7.63994,112.145,56,-161.93834
-8.07502,112.7222,548,-161.386025
-7.38069,112.36799,57,-160.43898
-7.2776,111.40513,96,-160.288996
-7.41033,112.35868,28,-158.312411
-7.66047,112.13861,55,-158.148364
-8.05238,112.58686,385,-157.515918
-8.00324,112.60229,447,-156.153056
-7.65011,112.14184,57,-155.87853
-7.74268,112.11279,79,-155.150336
-7.60057,112.15736,51,-153.7927
-7.09175,113.74292,215,-150.340334
-7.98282,109.33811,-37.463,-149.078482
-8.01266,112.74177,567,-148.98257
-7.96658,113.18331,674,-148.688706
-7.02543,113.76368,27,-147.823687
-7.27576,111.40584,96,-146.324973
-6.7121,114.28828,-69.534,-143.359924
-7.37081,112.37112,64,-142.3815
-7.75293,112.1096,83,-139.970744
-7.00934,105.29463,-370.714,-139.026327
-7.42696,113.78058,-58.226,-133.634253
-8.76626,113.83624,-897.501,-133.392963
-7.59041,112.16051,48,-132.298829
-7.02063,105.29098,-512.267,-131.476281
-7.34955,113.80287,-49.478,-128.403403
-7.3608,112.37419,75,-126.627891
-7.76314,112.10637,87,-125.270879
-9.03458,112.84998,-1796.45,-124.117315
-6.99804,105.29823,-326.748,-119.223903
-6.67139,114.30095,-75.998,-118.893351
-7.83453,112.08394,118,-117.381026
-7.84461,112.08079,115,-116.185494
-7.19483,105.38165,-1673.274,-116.088047
-7.01437,113.7672,61,-114.458346
-7.73795,113.1128,12,-114.253956
-7.77343,112.10317,88,-112.853604
-7.20453,105.37858,-1739,-112.372632
-7.18514,105.38471,-1626,-112.336082
-6.69714,113.29508,-51.706,-112.130878
-8.96093,113.44202,-1940.729,-110.335594
-7.3524,111.09773,70,-109.104393
-7.58039,112.16373,48,-108.894177
-6.40109,110.82714,-2.75,-108.706057
-7.8548,112.0776,123,-108.676595
-7.82455,112.08708,108,-107.402772
-6.68694,113.29824,-53.773,-107.282739
-8.60081,112.41467,-771.758,-106.058252
-7.74772,113.10975,22,-106.00877
-7.35073,112.37737,62,-105.733342
-8.97163,113.43885,-1968.675,-105.624927
-9.02206,112.99637,-1855.639,-102.786322
-7.42019,112.35561,28,-102.636748
-7.72817,113.11586,5,-102.616649
-7.78378,112.09993,93,-102.01869
-8.00235,112.74494,552,-101.233474
-7.91879,112.19863,417,-101.192521
-7.21425,105.37552,-1656,-101.151519
-7.33525,112.09802,97,-101.130995
-8.46465,110.74856,-357.498,-100.609519
-7.919,112.19858,417,-99.349156
-7.81439,112.09025,104,-98.919427
-6.70157,105.10207,-570.255,-97.895503
-7.86508,112.07436,128,-96.887672
-7.79406,112.09669,101,-96.668502
-7.10298,113.73946,111,-96.54635
-7.34013,113.80603,-47.956,-96.158474
-7.17548,105.3878,-1572.315,-95.097766
-7.80421,112.09347,104,-95.009546
-7.32515,112.1012,83,-94.638012
-6.72199,114.28518,-67.753,-94.264326
-7.43657,113.77754,-56.556,-94.230765
-6.7073,113.29192,-50.411,-94.226516
-7.54415,113.45911,-64.959,-93.551601
-7.39931,112.2495,50,-92.561812
-7.88629,111.49852,114,-92.526387
-9.03281,112.7072,-2150.76,-92.520893
-7.26739,111.40835,93,-92.496308
-7.38368,112.20048,78,-91.950809
-6.41187,109.40403,-45.478,-91.918231
-9.23335,114.0702,-3575.232,-91.72536
-7.55375,113.45604,-63.404,-90.934891
-7.37568,112.08538,139,-90.849924
-6.14608,111.04945,-55.036,-90.8434
-7.22398,105.37244,-1690,-90.26073
-7.53452,113.46214,-65.756,-89.538312
-7.89558,113.2056,115,-89.517134
-8.59113,112.41768,-743.216,-88.781099
-7.04104,109.91726,470,-88.613495
-8.95026,113.44541,-1915.089,-88.206217
-6.42182,109.40093,-46.733,-87.932823
-7.36141,114.65669,-91.545,-86.54277
-7.26584,111.40896,101,-85.796722
-7.03194,105.28737,-816.711,-85.603676
-8.08549,112.71891,516,-85.474884
-7.3407,112.38053,49,-84.734564
-7.38596,112.08221,162,-84.407472
-7.88476,108.80074,-75.638,-83.601508
