Lintang,Bujur,Tinggi_Ortometrik,FAA
-6.84082,107.56210,986.300,133.23339
-7.15656,107.36719,1650.300,247.04200
-7.18401,107.44871,1920.800,271.13971
-7.15542,107.56177,1266.100,164.30170
-7.19264,107.61471,1545.600,190.25273
-7.15480,107.69841,1240.800,143.22839
-7.15946,107.79109,1486.300,180.33743
-7.11766,107.43542,1312.600,191.12961
-7.11191,107.47136,1176.500,168.98886
-7.11287,107.55651,872.900,123.05218
-7.10395,107.70567,868.600,110.04249
-7.12149,107.77611,1248.700,150.47658
-7.05814,107.33920,1142.300,177.34132
-7.06309,107.39948,1299.900,194.83569
-7.07511,107.47145,1051.000,168.46225
-7.06747,107.51514,1066.200,155.59138
-7.07231,107.56547,753.700,108.53752
-7.07327,107.60742,879.600,119.56475
-7.06098,107.65043,935.500,132.95776
-7.06946,107.70264,761.200,110.57518
-7.07440,107.74781,706.600,93.64372
-7.07990,107.79315,891.300,117.25966
-7.06340,107.84283,1094.800,150.48709
-7.01084,107.34560,1049.000,154.06487
-7.03555,107.48248,1133.300,167.32974
-7.02679,107.51690,743.000,125.97434
-7.02134,107.56534,668.600,104.52920
-7.01901,107.59687,664.000,110.97028
-7.02105,107.64901,674.600,111.81754
-7.02561,107.69855,668.500,102.60493
-7.02628,107.74228,667.000,89.85726
-7.02959,107.79257,686.000,96.17945
-7.02210,107.83927,813.000,119.61248
-7.02240,107.87690,849.400,123.70052
-6.97359,107.38166,747.100,126.40985
-6.98334,107.42916,645.400,112.76694
-6.98136,107.56289,659.900,99.87570
-6.98308,107.60514,659.800,94.04742
-6.96953,107.63140,664.000,95.31829
-6.98313,107.69384,661.700,106.59280
-6.97476,107.75794,663.800,86.77297
-6.97283,107.84183,804.600,119.54378
-6.96332,107.88528,1076.000,153.28162
-6.93421,107.47853,660.200,105.72029
-6.93746,107.52394,683.000,127.92765
-6.93889,107.56230,684.500,103.80974
-6.93180,107.61110,692.200,93.70964
-6.73161,107.90737,375.400,52.85990
-6.70396,107.95790,315.900,44.72048
-6.64143,107.94734,82.400,20.39174
-6.71888,107.66079,839.300,127.89139
-6.83568,107.48840,709.800,95.52378
-6.68520,107.42987,524.400,76.77650
-6.62356,107.40399,225.700,68.16389
-7.04968,107.76153,673.700,90.71239
-7.03967,107.49607,800.900,133.59310
-6.82977,107.46639,707.300,96.46797
-7.03621,107.90715,733.700,112.84753
-6.96211,107.79267,671.800,89.91691
-6.83766,107.92782,473.400,67.05019
-6.93512,107.66096,673.300,98.90417
-6.93727,107.70159,669.700,108.34651
-6.93173,107.74965,774.900,104.71709
-6.92309,107.82875,870.600,110.36081
-6.89386,107.36172,679.100,94.54329
-6.87359,107.42750,703.400,87.72858
-6.89692,107.52291,723.200,119.81953
-6.88756,107.56893,767.600,104.06484
-6.88651,107.66972,820.100,108.64142
-6.90269,107.74359,974.700,125.47856
-6.90590,107.78166,819.000,100.11526
-6.88867,107.84037,782.800,97.88251
-6.89064,107.89344,880.900,116.89809
-6.87969,107.93490,487.400,78.25363
-6.83169,107.36893,367.300,41.09402
-6.84338,107.47473,717.400,83.76548
-6.84489,107.51883,811.700,102.71922
-6.84711,107.62835,1023.200,142.93724
-6.82534,107.68653,1257.400,176.13482
-6.85694,107.73248,1413.800,172.82151
-6.86245,107.79526,1034.100,122.60346
-6.84057,107.83344,917.600,111.24614
-6.84248,107.89996,501.000,64.89737
-6.79627,107.44227,497.600,48.50988
-6.77722,107.52406,1191.000,122.21472
-6.79754,107.57482,1318.400,202.39820
-6.80830,107.65001,1170.800,162.37313
-6.78833,107.69181,1207.900,183.34502
-6.81074,107.86150,692.500,88.38426
-6.79948,107.94985,605.400,82.44796
-6.74120,107.36152,310.800,38.80563
-6.76063,107.61834,1834.600,221.67426
-6.74135,107.75452,481.100,78.79512
-6.74625,107.80119,410.700,63.47972
-6.76194,107.84175,539.600,73.50014
-6.76315,107.88722,367.000,51.70341
-6.73973,108.01009,353.400,49.59778
-6.70272,107.46952,674.300,85.02154
-6.69813,107.51702,782.100,90.22077
-6.67521,107.56649,680.400,85.27807
-6.70472,107.69170,589.600,100.84522
-6.70724,107.75608,410.700,58.58770
-6.70169,107.79668,296.200,41.94614
-6.71404,107.82148,427.300,56.97991
-6.66513,107.61363,643.100,92.87438
-6.66934,107.66001,515.500,83.42934
-6.66298,107.69826,493.400,80.78946
-6.66435,107.75387,442.500,53.82838
-6.64903,107.79871,465.300,53.41464
-6.67451,107.91210,167.400,27.18844
-6.60294,107.47018,186.900,43.97023
-6.63252,107.52411,555.100,69.70683
-6.62183,107.57387,299.800,56.98618
-6.61236,107.67868,305.600,54.95214
-6.60344,107.73426,186.800,44.30906
-6.57035,107.76116,90.700,35.20847
-6.60020,107.85760,76.400,19.58037
-6.60589,107.94277,67.000,17.30094
-6.67298,107.47622,621.100,78.69038
-6.59024,107.42948,212.700,58.95681
-7.04935,107.76155,672.800,90.59184
-6.82647,107.61775,1256.800,165.26563
-6.75957,107.61901,1828.800,220.78731
-6.85991,107.92043,456.800,63.67098
-6.56998,107.90523,46.500,18.28915
-6.90073,107.62145,718.000,91.28261
-6.47334,108.22140,294.200,51.96944
-6.47244,108.22540,251.000,55.20072
-6.48273,108.21040,289.800,60.91133
-6.48313,108.22130,432.600,73.61725
-6.47465,108.20320,203.100,51.48789
-6.46544,108.21530,206.100,49.16996
-6.46499,108.22250,206.400,50.01166
