Lintang,Bujur,Tinggi_Ortometrik,FAA
-7.83589,108.57600,-88.532,129.61773
-7.83567,108.57529,-88.532,129.74151
-7.83544,108.57457,-98.643,129.86559
-7.83522,108.57386,-98.643,129.98996
-7.83499,108.57314,-98.643,130.11480
-7.83476,108.57243,-98.643,130.23998
-7.83454,108.57171,-98.643,130.36563
-7.83431,108.57099,-98.643,130.49179
-7.83409,108.57028,-108.292,130.61840
-7.83386,108.56956,-108.292,130.74556
-7.83363,108.56885,-108.292,130.87333
-7.83341,108.56813,-108.292,131.00170
-7.83318,108.56742,-113.796,131.13074
-7.83295,108.56670,-113.796,131.26050
-7.83273,108.56599,-122.044,131.39103
-7.83250,108.56527,-122.044,131.52236
-7.83227,108.56455,-122.044,131.65462
-7.83204,108.56384,-122.044,131.78769
-7.83182,108.56312,-122.044,131.92184
-7.83159,108.56241,-126.490,132.05695
-7.83136,108.56169,-126.490,132.19304
-7.83114,108.56097,-126.490,132.33028
-7.83091,108.56026,-126.490,132.46875
-7.83068,108.55954,-126.490,132.60837
-7.83046,108.55882,-126.490,132.74918
-7.83023,108.55810,-125.309,132.89137
-7.83000,108.55739,-125.309,133.03478
-7.82978,108.55667,-125.309,133.17947
-7.82955,108.55595,-125.309,133.32553
-7.82932,108.55523,-125.309,133.47293
-7.82909,108.55451,-134.226,133.62165
-7.82887,108.55379,-128.262,133.77173
-7.82864,108.55308,-128.262,133.92315
-7.82841,108.55236,-128.262,134.07598
-7.82818,108.55164,-128.262,134.23004
-7.82795,108.55092,-128.262,134.38543
-7.82772,108.55020,-128.262,134.54213
-7.82749,108.54948,-119.840,134.70002
-7.82726,108.54876,-119.840,134.85917
-7.82703,108.54805,-119.840,135.01944
-7.82681,108.54733,-119.840,135.18081
-7.82658,108.54661,-119.840,135.34322
-7.82635,108.54589,-119.840,135.50658
-7.82612,108.54517,-109.430,135.67082
-7.82589,108.54445,-109.430,135.83582
-7.82566,108.54373,-109.430,136.00157
-7.82544,108.54301,-109.430,136.16800
-7.82521,108.54229,-109.430,136.33490
-7.82498,108.54157,-104.907,136.50214
-7.82475,108.54085,-104.907,136.66968
-7.82452,108.54013,-104.907,136.83747
-7.82430,108.53941,-104.907,137.00519
-7.82407,108.53868,-104.907,137.17289
-7.82384,108.53796,-104.907,137.34032
-7.82361,108.53724,-88.026,137.50739
-7.82338,108.53652,-88.026,137.67396
-7.82315,108.53580,-88.026,137.83994
-7.82292,108.53508,-88.026,138.00507
-7.82270,108.53436,-88.026,138.16927
-7.82247,108.53364,-88.026,138.33234
-7.82224,108.53292,-69.804,138.49419
-7.82201,108.53219,-69.804,138.65467
-7.82178,108.53147,-69.804,138.81364
-7.82155,108.53075,-69.804,138.97084
-7.82133,108.53003,-69.804,139.12615
-7.82110,108.52931,-69.804,139.27948
-7.82087,108.52859,-53.000,139.43062
-7.82065,108.52786,-57.735,139.57947
-7.82042,108.52714,-57.735,139.72588
-7.82019,108.52642,-57.735,139.86971
-7.81997,108.52570,-57.735,140.01086
-7.81974,108.52498,-46.614,140.14908
-7.81951,108.52425,-46.614,140.28443
-7.81929,108.52353,-46.614,140.41666
-7.81906,108.52281,-46.614,140.54571
-7.81883,108.52209,-46.614,140.67137
-7.81860,108.52137,-46.614,140.79365
-7.81838,108.52065,-37.945,140.91240
-7.81815,108.51993,-37.945,141.02748
-7.81792,108.51920,-37.945,141.13896
-7.81769,108.51848,-37.945,141.24673
-7.81746,108.51776,-37.945,141.35066
-7.81723,108.51704,-37.945,141.45077
-7.81700,108.51632,-30.529,141.54699
-7.81678,108.51560,-30.529,141.63931
-7.81655,108.51488,-34.838,141.72765
-7.81632,108.51416,-34.838,141.81206
-7.81609,108.51344,-34.838,141.89248
-7.81587,108.51272,-34.838,141.96899
-7.81564,108.51199,-29.322,142.04154
-7.81541,108.51127,-29.322,142.11025
-7.81519,108.51055,-29.322,142.17513
-7.81496,108.50983,-29.322,142.23612
-7.81473,108.50911,-29.322,142.29341
-7.81450,108.50839,-29.322,142.34704
-7.81428,108.50767,-26.082,142.39717
-7.81405,108.50695,-26.082,142.44374
-7.81382,108.50622,-26.082,142.48692
-7.81360,108.50550,-26.082,142.52687
-7.81337,108.50478,-26.082,142.56365
-7.81314,108.50406,-26.128,142.59744
-7.81292,108.50334,-26.128,142.62835
-7.81269,108.50262,-26.128,142.65653
-7.81247,108.50190,-28.848,142.68212
-7.81224,108.50118,-28.848,142.70526
-7.81201,108.50046,-28.848,142.72618
-7.81179,108.49974,-28.757,142.74496
-7.81156,108.49902,-28.757,142.76197
-7.81133,108.49830,-28.757,142.77733
-7.81110,108.49758,-28.757,142.79128
